stock_no,people,lots,b4_pct,b4_people,b4_lots,b1_pct,b1_people,s10_pct
5864,13138,454496,70.61,112,320993,62.02,49,5.19
5871,116023,1711421,68.88,352,1179420,63.02,192,10.78
5871A,8229,150000,69.66,46,104521,60.84,26,5.05
5876,54133,4861603,86.93,825,4226957,81.23,371,1.66
5878,1824,25024,72.03,11,18029,59.78,6,11.89
5880,418624,15680937,73.3,1810,11497880,69.28,733,4.84
5901,5003,22907,77.87,2,17837,77.87,2,8.64
5902,2584,94500,85.18,16,80510,81.29,10,3.55
5903,17507,223220,91.4,25,204080,88.64,16,5.35
5904,24152,106444,70.14,50,74680,52.45,19,8.13
5905,46453,281623,46.65,43,131454,40.77,16,16.86
5906,957,35741,87.6,10,31315,82.48,7,1.76
5907,5616,195531,69.22,26,135379,65.17,13,6.73
6005,109361,2170908,74.81,262,1624483,71.7,153,7.69
6015,73358,402901,51.31,84,206842,45.19,42,12.17
6016,77213,686596,52.65,141,361552,45.72,61,10.6
6020,1969,252353,96.58,10,243740,95.93,8,0.88
6021,4176,312231,90.07,46,281271,86.28,27,1.58
6023,13820,319976,86.88,23,278029,85.15,13,4.38
6024,16882,249938,68.79,31,171957,64.09,10,10.92
6026,43784,396162,50.03,92,198328,41.52,38,10.7
6027,822,155720,95.39,9,148563,93.85,6,0.47
6028,1668,25000,62.6,11,15655,50.64,5,9.07
6035,2287,71386,93.98,20,67099,83.93,9,2.2
6101,2701,115564,89.59,40,103553,80.12,25,2.92
6103,3169,13605,91.1,5,12395,83.83,3,4.33
6104,57195,91129,18.93,16,17263,9.79,4,44.87
6107,5298,87438,40.84,17,35727,34.58,8,13.8
6108,60854,154494,52.62,43,81323,43.02,20,15.77
6109,33987,87825,49.83,31,43779,40.09,18,13.08
6110,2636,29376,18.41,7,5412,7.18,2,14.26
6111,45700,109091,44.51,23,48574,40.3,16,24.8
6112,34620,188357,58.56,13,110344,56.09,6,20.99
6113,8382,52549,53.96,9,28364,52.1,7,20.57
6114,5439,43912,74.07,9,32533,65.48,3,9.22
6115,14276,187662,61.5,31,115470,56.59,17,16.59
6116,360861,2858655,47.08,199,1346496,44.65,83,24.25
6117,14670,92587,53.38,13,49431,49.06,7,25.39
6118,9192,90890,57.2,16,52003,51.7,9,19.66
6120,60086,599000,61.2,74,366783,56.89,31,12.61
6121,18988,184971,68.18,86,126159,51.14,34,10.89
6122,36065,78092,29.55,18,23092,20.48,8,28.79
6123,10463,62089,43.09,20,26772,33.37,9,20.99
6124,9058,182480,93.7,18,171034,92.29,14,4.36
6125,92114,259011,36.36,35,94203,31.67,16,35.52
6126,72056,129943,37.82,26,49174,31.78,14,33.27
6127,74149,108080,25.34,20,27401,20.34,10,46.24
6128,7668,127589,58.95,26,75246,53.53,15,11.67
6129,75766,180944,16.38,14,29690,13.43,5,37.27
6130,29347,46300,62.56,14,28976,50.41,7,8.03
6131,5937,34793,41.17,9,14331,29.61,3,17.04
6132,4754,64154,35.29,25,22649,15.59,5,15.79
6133,22375,117006,47.97,21,56138,44.22,13,23.66
6134,18191,81882,56.77,20,46500,46.71,7,19.51
6135,7564,76189,38.4,12,29263,34.22,6,13.36
6136,45759,115536,44.75,35,51723,33.02,13,20.5
6137,11247,101377,38.74,29,39282,26.62,9,15.27
6138,26461,75636,50.17,28,37960,30.68,6,18.32
6139,39403,235576,69.08,76,162769,58.28,37,12.41
6140,10049,54898,46.62,17,25603,34.47,7,26.93
6141,16401,113354,49.7,37,56359,39.09,18,18.83
6142,48757,330779,59.32,61,196289,50.67,14,10.24
6143,54290,86059,31.31,21,26960,19.12,5,40.15
6144,1513,38274,89.55,3,34277,89.55,3,5.45
6146,20674,101867,56.28,31,57342,42.87,10,14.44
6147,140403,744594,70.57,151,525618,65.33,89,17.82
6148,27989,46604,37.01,9,17252,33.68,6,34.4
6149,3075,31880,39.03,7,12445,35.09,5,15.85
6150,40484,48346,15.59,6,7548,11.78,3,45.82
6151,19429,55257,36.87,19,20389,22.35,7,24.04
6152,42009,167738,23.81,28,39962,16.96,10,27.56
6153,80225,636178,49.91,102,317609,43.84,39,17.14
6154,10868,80080,63.27,21,50676,54.44,10,16.37
6155,15852,88024,59.12,28,52064,49.57,14,25.33
6156,36398,107875,43.26,23,46684,38.04,13,18.96
6158,36546,55698,43.11,16,24017,34.41,9,21.42
6160,45260,68489,38.58,16,26434,29.69,7,25.76
6161,23546,56237,39.39,5,22164,35.28,1,26.51
6162,3808,79770,51.97,24,41468,43.87,13,10.15
6163,47374,148839,44.68,34,66525,37.78,17,25.0
6164,46047,80000,27.22,25,21791,13.0,5,29.82
6165,41406,77753,47.58,24,37004,37.09,12,13.66
6166,11413,217779,77.93,62,169743,69.29,31,6.76
6167,29080,146000,43.7,34,63829,36.45,17,18.94
6168,35900,205762,44.32,18,91211,42.81,12,28.48
6169,40937,23395,30.39,4,7113,26.44,2,30.6
6170,33076,97260,56.33,23,54809,50.39,13,16.98
6171,2387,100000,87.72,23,87732,79.36,11,3.05
6172,1902,30000,88.76,9,26631,82.71,7,5.51
6173,47084,171200,67.61,28,115781,62.22,14,18.67
6174,9451,50000,63.42,14,31716,56.81,8,18.35
6175,19382,150122,65.58,29,98478,59.3,14,20.38
6176,71924,465027,51.24,130,238365,42.33,64,24.04
6177,20984,471891,75.29,125,355446,67.39,67,6.58
6179,50246,177325,40.11,47,71162,29.54,17,18.67
6180,56684,175494,50.3,30,88323,46.84,21,26.83
6181,3950,45630,11.85,6,5416,6.88,2,16.59
6182,152987,593641,43.47,110,258209,38.39,61,27.76
6183,37337,150000,77.43,32,116163,71.06,17,5.79
6184,7717,162128,72.39,30,117399,67.83,18,8.74
6185,46582,149868,52.88,47,79282,40.08,16,14.27
6186,57485,194908,52.01,33,101412,46.62,16,13.28
6187,56489,98263,52.25,46,51356,34.04,16,18.53
6188,69905,278359,43.98,37,122509,37.85,10,31.14
6189,65501,263826,33.63,68,88762,23.08,29,28.66
6190,59468,194112,37.0,43,71857,29.65,19,34.77
6191,85321,499303,55.45,59,276980,51.32,28,23.83
6192,7827,96156,57.58,39,55386,45.55,20,11.97
6193,8879,177808,61.35,38,109132,56.65,25,9.89
6194,5015,48000,53.46,19,25670,33.32,5,14.97
6195,11420,50193,53.24,7,26729,52.4,6,25.65
6196,30378,220330,72.02,45,158733,65.94,25,11.76
6197,45041,123439,48.01,28,59289,39.96,11,28.07
6198,6584,171400,94.21,8,161514,92.89,4,1.47
6199,2154,61760,79.22,20,48932,74.61,15,4.82
6201,5904,89200,69.11,21,61660,61.43,11,11.75
6202,58131,230388,39.44,42,90907,33.94,22,30.28
6203,10125,82401,59.19,16,48781,52.21,6,22.65
6204,22046,23102,29.71,3,6867,25.64,2,44.71
6205,13357,82236,47.21,26,38846,40.79,17,27.09
6206,17201,143062,52.47,44,75085,41.04,18,19.7
6207,61547,91896,28.56,27,26255,16.6,9,46.5
6208,11641,94462,65.81,44,62193,52.23,24,16.22
6209,58823,181662,45.06,55,81893,37.37,33,30.6
6210,3121,35048,54.11,16,18968,36.44,7,17.23
6212,989,102000,91.79,27,93638,86.12,18,1.04
6213,86178,363597,57.63,66,209614,51.09,31,25.42
6214,56125,272243,57.08,74,155471,47.46,33,21.02
6215,56260,82790,32.53,14,26943,27.63,7,41.97
6216,32470,97296,39.64,27,38587,29.85,10,24.55
6217,75584,117210,32.23,30,37786,22.33,13,41.36
6218,28023,64262,47.37,18,30456,37.19,7,26.27
6219,5954,124967,68.79,21,86001,64.65,12,7.42
6220,34380,146463,64.04,55,93832,53.15,28,9.55
6221,31278,168601,74.63,21,125866,71.29,12,6.99
6222,1865,95689,90.1,11,86233,84.52,3,2.16
6223,50026,97981,48.94,31,47961,36.49,12,10.25
6224,43328,85645,38.67,25,33133,24.5,8,26.23
6225,5594,27800,65.08,7,18097,55.2,2,7.16
